ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
VIX008743-2,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 18:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS - PENDENCIA FINALIZADA,PENDENCIA SOLUCIONADA,27278,26301600000183�,08718972002414�,VIX,"2.765,25",14/08/26,SAO PAULO,,6,solucionada
VIX008746-7,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 19:30H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS - PENDENCIA FINALIZADA,PENDENCIA SOLUCIONADA,27267,26301600000183�,08718972001957�,VIX,"2.024,29",14/08/26,SAO PAULO,,6,solucionada
VIX008772-6,03/08/2026,ENTREGA REALIZADA COM RESSALVAS,"ENTREGA REALIZADA COM RESSALVAS EM 14/08/26 16:00H E FOI RECEBIDO POR CARIMBO, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS,PENDENCIA SOLUCIONADA,27445,26301600000183�,17226232000165�,VIX,"104.011,04",14/08/26,GOIANIA,,6,solucionada
VIX008778-5,03/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,RETORNO DA RUA SEM BIPAGEM NA DESCARGA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,RETORNO DA RUA SEM BIPAGEM NA DESCARGA,PENDENCIA SOLUCIONADA,38681,32988138000218�,54801535000190�,VIX,"5.993,52",03/08/2026,SAO PAULO,,17,solucionada
VIX008975-3,12/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,LIBERADA PARA ANALISE DO CLIENTE,PENDENCIA SOLUCIONADA,1047,29749291000288�,20522344000178�,VIX,"6.266,92",12/08/2026,GUARULHOS,,8,solucionada
VIX008987-7,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: CARIMBO, DOC N.: CPF (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,6,37141903000283�,37141903000100�,VIX,"46.696,80",14/08/26,ITAGUAI,,6,solucionada
VIX009041-7,17/08/2026,SAIDA DE UNIDADE,"Saida da unidade RIO DE JANEIRO em 19/08/26, 20:01h. Previsao de chegada na unidade GUARULHOS em 20/08/26, 20:01h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,91,87203121000461�,48290289000319�,SPO,"41.238,00",19/08/26,JUNDIAI,,1,solucionada
9,,,,80,80,,,PENDENCIA EM TRATATIVA,,,,,,,,,0,aberta
ATM048262-5,27/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,5439,41190066000179�,00043520073900�,INV,"32.100,00",27/07/2026,PAU D ARCO,,24,aberta
BSB011202-0,05/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 10/08/26 16:10H E FOI RECEBIDO POR ASSIANTURA, PARENTESCO: CARIMBO, DOC N.: CPF (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,1451737,07888247000135�,05058935000576�,BSB,"32.179,50",10/08/26,RIO DE JANEIRO,,10,aberta
DCS001480-0,13/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 18/08/26 14:00H E FOI RECEBIDO POR CARIMBO, PARENTESCO: , DOC N.: (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,1308263,05112286000544�,05112286000382�,DCX,"0,01",18/08/26,GOIANIA,,2,aberta
GYN065129-0,25/07/2026,ENTREGA REALIZADA,MERCADORIA ENTREGUE (opc 233),80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,465539,07642426000198�,12987085000122�,GYN,"803,60",25/07/2026,SAO JOSE DOS CAMPOS,,26,aberta
GYN065505-8,10/08/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,"EM TRATATIVA, O RIO ALEGA QUE OS VOLUMES NAO CONSTAM EM SUA BASE E NAO",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,"EM TRATATIVA, O RIO ALEGA QUE OS VOLUMES NAO CONSTAM EM SUA BASE E NAO",PENDENCIA EM TRATATIVA,466000,07642426000198�,43854777000126�,GYN,"472.589,86",10/08/2026,GUARULHOS,,10,aberta
GYN065602-0,14/08/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,17274,30978117000105�,31835974000119�,RRT,"51.560,00",14/08/2026,SAO JOAO DA BARRA,,6,aberta
SPN004481-4,11/08/2026,ENTREGA REALIZADA COM RESSALVAS,"ENTREGA REALIZADA COM RESSALVAS EM 12/08/26 18:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,438146,78534674000163�,45791718000181�,MTZ,"96.967,24",12/08/26,GUARULHOS,,8,aberta
SPO322992-1,16/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,4064,54190174000355�,19653657000186�,LEO,"57.158,50",16/07/2026,PIRACICABA,,35,aberta
SPO324576-4,30/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,436183,78534674000163�,02253528000106�,MTZ,"5.934,75",30/07/2026,SAO PAULO,,21,aberta
SPO324869-1,31/07/2026,CONHECIMENTO SUBSTITUIDO,REFERE-SE A NF 418439,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,EM BUSCA DOS VOLUMES FALTANTES,PENDENCIA EM TRATATIVA,418438,60745411000642�,60952727000109�,LEO,"25.366,92",31/07/2026,GOIANIA,,20,aberta
SPO325698-7,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,420263,60745411000642�,56309147000112�,LEO,"10,50",14/08/26,NITEROI,,6,aberta
SPO325902-1,10/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 16:00H E FOI RECEBIDO POR VITORIA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,1819107,01358874001311�,61585865065954�,DCX,"574.971,96",19/08/26,DUQUE DE CAXIAS,,1,aberta
SPO326167-1,12/08/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,AGUARDANDO REPOCICAO DO FORNECEDOR,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,AGUARDANDO REPOCICAO DO FORNECEDOR,PENDENCIA EM TRATATIVA,436099,78534674000163�,22122877000198�,MTZ,"2.274,31",12/08/2026,RIO DE JANEIRO,,8,aberta
SPO326327-4,13/08/2026,IMAGENS OPERACIONAIS CARGA & DESCARGA / OUTROS,IMAGENS OPERACIONAIS CARGA & DESCARGA / OUTROS,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,173671,40595809000390�,07543270000864�,LEO,"363,94",13/08/2026,JAGUARE,,7,aberta
SPO326415-7,13/08/2026,MERCADORIA ENTREGUE COM COMPROVANTE RETIDO,AUTORIZADO POR DANIELA FOCAL EM 19/08/26 13:54H,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,200541,57688657000100�,47341740000155�,SPO,"26.228,00",19/08/26,APARECIDA DE GOIANIA,,1,aberta
VIX007884-1,03/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,26491,26301600000183�,03627724000158�,VIX,"1.362,98",03/07/2026,BRASILIA,,48,aberta
VIX008552-9,25/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,26963,26301600000183�,51510640000182�,VIX,"80.511,55",25/07/2026,PRESIDENTE PRUDENTE,,26,aberta
