ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
DCX087897-9,14/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 17:47H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,192257,02462686000168�,34111145000181�,DCX,"4.740,71",19/08/26,SAO PAULO,,1,solucionada
DCX087922-3,14/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de BRASILIA.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,103956,32350180000128�,15126437000143�,DCX,"2.400,00",14/08/2026,BRASILIA,,6,solucionada
DCX087934-7,14/08/2026,CHEGADA EM UNIDADE,"Chegada na unidade BRASILIA em 17/08/26, 09:59h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1829211,02890979000146�,00776574003333�,DCX,"3.073,59",17/08/26,BRASILIA,,3,solucionada
DCX087937-1,14/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 24/08/26 12:00, Contato: BRENDA, Observacoes: SENHA 93854058968. AGENDAMENTO DE R$25,00 NAO COBRADO.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,433027,30924882000142�,15436940003463�,DCX,"16.105,68",24/08/26,BRASILIA,,0,solucionada
DCX087949-5,17/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de GOIANIA.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUME LOCALIZADO,PENDENCIA SOLUCIONADA,250624,33561853000151�,06110229000165�,DCX,"11.284,98",17/08/2026,GOIANIA,,3,solucionada
DCX087950-9,17/08/2026,SAIDA DE UNIDADE,"Saida da unidade GUARULHOS em 19/08/26, 02:57h. Previsao de chegada na unidade CUIABA em 21/08/26, 02:57h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,250696,33561853000151�,07479006000132�,DCX,"21,38",19/08/26,SORRISO,,1,solucionada
DCX087952-5,17/08/2026,SAIDA DE UNIDADE,"Saida da unidade GUARULHOS em 19/08/26, 02:57h. Previsao de chegada na unidade CUIABA em 21/08/26, 02:57h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,250669,33561853000151�,23476033002313�,DCX,"3.354,00",19/08/26,VARZEA GRANDE,,1,solucionada
DCX087953-3,17/08/2026,SAIDA DE UNIDADE,"Saida da unidade SAO PAULO em 19/08/26, 21:33h. Previsao de chegada na unidade CAMPO GRANDE em 21/08/26, 09:32h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,250743,33561853000151�,05069907000120�,DCX,"30,99",19/08/26,CAMPO GRANDE,,1,solucionada
DCX087954-1,17/08/2026,SAIDA DE UNIDADE,"Saida da unidade GUARULHOS em 19/08/26, 02:57h. Previsao de chegada na unidade CUIABA em 21/08/26, 02:57h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,250612,33561853000151�,03101474000118�,DCX,"1.311,14",19/08/26,SINOP,,1,solucionada
DCX087969-0,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,911,33927419000819�,18328118003809�,DCX,"138.326,46",17/08/2026,EMBU DAS ARTES,,3,solucionada
